ADM0_A3,Diesel,Fuel
IDN,0.47,0.47
MYS,0.59,0.62
CHL,1.24,1.56
BOL,0.54,0.7
PER,1.41,1.63
ARG,1.33,1.46
ESB,1.78,1.77
CYP,1.78,1.77
IND,0.86,1.25
CHN,1.28,1.37
ISR,2.12,2.01
PSX,1.68,1.87
LBN,0.94,1.11
ETH,0.94,1.05
SDS,1.97,1.97
SOM,1.1,1.21
KEN,1.26,1.37
PAK,1.2,1.14
MWI,1.9,1.93
TZA,1.27,1.31
SYR,0.36,0.79
SOL,1.073333333,1.336666667
FRA,1.78,1.91
SUR,1.52,1.57
GUY,1.05,1.08
KOR,1.63,1.8
PRK,1.31,0.76
MAR,0.96,1.42
SAH,0.8,1.046666667
CRI,1.36,1.57
NIC,1.19,1.23
COG,0.92,1.15
COD,1.48,1.48
BTN,0.86,1.19
UKR,1.25,1.35
BLR,0.9,0.88
NAM,1.31,1.24
ZAF,1.42,1.38
MAF,1.07,1.4
SXM,1.07,1.4
OMN,0.38,0.31
UZB,0.87,1.02
KAZ,0.67,1.01
TJK,0.91,1.45
LTU,1.7,1.83
BRA,1.02,1.39
URY,1.88,1.97
MNG,1.22,1.29
RUS,1,0.99
RUS,1,0.99
CZE,1.87,1.93
DEU,1.88,1.96
EST,1.76,1.76
LVA,1.77,1.8
NOR,2.35,2.53
SWE,2.16,2.1
FIN,1.95,2.08
VNM,1.06,1.15
KHM,1.27,1.35
LUX,1.64,1.64
ARE,0.64,0.47
BEL,1.98,2.09
GEO,1.37,1.34
MKD,1.55,1.75
ALB,1.79,1.81
AZE,0.57,0.76
KOS,1.6,1.65
TUR,2.33,2.54
TUR,2.33,2.54
ESP,1.75,1.75
LAO,1.18,1.33
KGZ,0.8,0.89
ARM,1.15,1.25
DNK,1.89,2.02
LBY,0.1,0.12
TUN,0.69,0.93
ROU,1.73,1.7
HUN,1.91,1.84
SVK,1.85,1.98
POL,1.73,1.74
IRL,1.98,2.02
GBR,2.27,2.17
GRC,2.08,2.06
ZMB,1.48,1.48
SLE,1.05,1.05
GIN,1.34,1.34
LBR,1.22,1.17
CAF,1.69,1.71
SDN,0.51,0.75
DJI,1.18,1.75
ERI,1.71,2.49
AUT,1.81,1.81
IRQ,0.911571429,1.147142857
ITA,2.18,2.28
CHE,2.06,1.88
IRN,0.124,0.33
NLD,1.95,2.33
LIE,2.06,1.88
CIV,1.2,1.51
SRB,1.8,1.78
MLI,1.25,1.41
SEN,1.53,1.72
NGA,1.09,0.62
BEN,1.26,1.24
AGO,0.42,0.63
HRV,1.7,1.77
SVN,1.77,1.86
QAT,0.27,0.27
SAU,0.067,0.16
BWA,1.25,1.23
ZWE,1.4,1.52
BGR,1.68,1.69
THA,0.97,1.56
SMR,2.18,2.28
HTI,1.03,1.25
DOM,1.35,1.58
TCD,1.16,0.95
KWT,0.2,0.23
SLV,1.17,1.26
GTM,1.04,1.14
TLS,1.43,1.65
BRN,0.26,0.43
MCO,2.04,2.23
DZA,0.17,0.29
MOZ,1.23,1.58
SWZ,1.34,1.3
BDI,1.47,1.47
RWA,1.73,1.73
MMR,0.8,1.04
BGD,0.76,1.15
AND,1.48,1.67
AFG,1.21,1.28
MNE,1.75,1.82
BIH,1.62,1.59
UGA,1.35,1.42
USG,1.3,1.4
CUB,1.3,1.4
HND,1.15,1.25
ECU,0.29,0.58
COL,1.18,1.28
PRY,1.31,1.74
PRT,1.89,2.15
MDA,1.4,1.42
TKM,0.2,0.22
JOR,0.97,1.44
NPL,1.09,1.44
LSO,1.31,1.24
CMR,1.01,1.1
GAB,0.91,1.04
NER,1.12,1.12
BFA,1.28,1.43
TGO,1.22,1.16
GHA,0.95,0.92
GNB,1.435,1.53
GIB,1.75,1.75
USA,1.05,0.97
CAN,1.23,1.32
MEX,0.85,0.86
BLZ,1.21,1.44
PAN,1.02,1.05
VEN,0.011,0.023
PNG,0.47,0.47
EGY,0.18,0.45
YEM,0.47,0.58
MRT,1.27,1.43
GNQ,0.96,1.07
GMB,1.53,1.72
HKG,1.57,2.16
VAT,2.18,2.28
CYN,1.78,1.77
CNM,1.78,1.77
KAS,1.113333333,1.253333333
KAB,0.67,1.01
WSB,1.78,1.77
AUS,1.57,1.39
GRL,2.06,1.99
FJI,1.29,1.41
NZL,1.24,1.77
NCL,1.29,1.41
MDG,1.22,1.49
PHL,1.01,1.25
LKA,0.93,1.29
CUW,0.011,0.023
ABW,1.35,1.58
BHS,1.3,1.4
TCA,1.35,1.58
TWN,1.19,1.19
JPN,1.61,2
SPM,1.35,1.58
ISL,2.06,1.99
PCN,0.29,0.58
PYF,0.85,0.86
ATF,1.22,1.49
SYC,1.22,1.49
KIR,1.29,1.41
MHL,1.29,1.41
TTO,1.07,1.4
GRD,1.07,1.4
VCT,1.07,1.4
BRB,1.07,1.4
LCA,1.07,1.4
DMA,1.07,1.4
UMI,1.19,1.2
MSR,1.07,1.4
ATG,1.07,1.4
KNA,1.07,1.4
VIR,1.35,1.58
BLM,1.07,1.4
PRI,1.35,1.58
AIA,1.07,1.4
VGB,1.35,1.58
JAM,1.19,1.2
CYM,1.3,1.4
BMU,1.35,1.58
HMD,1.38,1.65
SHN,1.22,1.17
MUS,1.38,1.65
COM,1.22,1.49
STP,0.91,1.04
CPV,1.58,2.3
MLT,1.75,1.92
JEY,2.27,2.17
GGY,2.27,2.17
IMN,2.27,2.17
ALD,2.16,2.1
FRO,2.27,2.17
IOA,1.26,1.68
IOT,1.09,1.1
SGP,1.26,1.68
NFK,1.29,1.41
COK,0.85,0.86
TON,0.85,0.86
WLF,0.85,0.86
WSM,0.85,0.86
SLB,1.29,1.41
TUV,1.29,1.41
MDV,1.09,1.1
NRU,1.29,1.41
FSM,1.01,1.25
SGS,1.88,1.97
FLK,1.33,1.46
VUT,1.29,1.41
NIU,0.85,0.86
ASM,0.85,0.86
PLW,1.01,1.25
GUM,1.01,1.25
MNP,1.61,2
BHR,0.17,0.27
CSI,1.29,1.41
PGA,0.26,0.43
CLP,0.85,0.86
MAC,1.57,2.16
ATC,1.43,1.65
BJN,1.19,1.2
SER,1.19,1.2
SCR,1.01,1.25
